Date,Open,High,Low,Close,Volume
2016-05-03,44.2382,45.524,43.6383,44.1534,43796514.617435
2016-05-04,43.3348,43.5534,42.8646,42.9924,34801469.285534
2016-05-05,42.3495,42.8237,42.2237,42.3914,35082191.618746
2016-05-06,42.2237,42.3066,41.4511,41.4511,42321233.789204
2016-05-09,42.0091,42.1798,41.494,41.494,24162406.800679
2016-05-10,41.4511,41.9212,41.4511,41.7925,23513867.24802
2016-05-11,41.8354,41.8793,41.3223,41.3223,24255366.847924
2016-05-12,41.4511,41.494,40.7243,40.9759,31314118.677073
2016-05-13,40.7243,40.892,40.334,40.5496,33470986.310181
2016-05-16,40.6804,41.3662,40.6804,41.1077,23863351.70715
2016-05-17,41.3662,42.3495,41.1935,42.1798,31100350.337307
2016-05-18,41.5798,41.9652,41.4511,41.5798,30550563.867951
2016-05-19,42.2577,42.9944,42.1688,42.9105,36344405.322019
2016-05-20,42.6031,42.8237,42.2577,42.4284,23441397.699233
2016-05-23,42.039,42.3435,41.8184,41.9951,23828393.143709
2016-05-24,42.039,42.3844,41.7316,42.2577,15193007.899554
2016-05-25,43.1272,43.9098,43.1272,43.8679,51586971.07734
2016-05-26,44.1294,44.388,43.8219,44.3031,36084669.346309
2016-05-27,44.2582,44.5637,43.9098,44.3031,27695635.890629
2016-05-30,44.0855,44.5207,44.0416,44.2582,16277331.419637
2016-05-31,43.9976,45.0868,43.9976,44.6086,30274340.328608
2016-06-01,43.781,44.3031,43.6483,43.8679,33481601.700655
2016-06-02,43.5644,44.2582,43.5644,43.9976,24896893.250756
2016-06-03,44.0416,44.5637,44.0416,44.2582,32358112.328277
2016-06-06,43.9976,43.9976,43.3009,43.6483,21643416.81411
2016-06-07,44.0855,44.5207,43.9547,44.3031,17249665.926026
2016-06-08,44.0855,44.346,43.8679,43.9976,16363693.035528
2016-06-10,43.6073,43.7351,42.8646,42.9944,29272773.178562
2016-06-13,41.7755,41.8184,41.3862,41.7316,50255914.107579
2016-06-14,41.7316,41.9951,41.1236,41.1656,40391475.608474
2016-06-15,40.7772,41.3862,40.5995,41.2524,38460435.206379
2016-06-16,40.906,40.9489,40.337,40.4238,53600747.814763
2016-06-17,41.2085,41.7316,41.1236,41.5569,28474567.33878
2016-06-20,42.6899,43.3438,42.2976,42.9944,54009606.135252
2016-06-21,42.9545,43.4296,42.9545,43.3907,32818605.102103
2016-06-22,43.5644,43.9098,43.4296,43.8219,38232715.697118
2016-06-23,44.1743,44.5637,44.1743,44.2582,48471490.709923
2016-06-24,42.9105,44.388,38.7727,41.3433,316484493.8331
2016-06-27,40.4238,41.2524,40.2511,40.6435,67169835.377791
2016-06-28,39.5114,40.4688,39.4675,40.3829,68286306.591666
2016-06-29,40.6864,41.0348,40.5995,40.906,63209722.739815
2016-06-30,41.2085,41.6028,40.9899,41.2524,51620565.27711
2016-07-04,41.9522,42.4723,41.8624,41.9522,53605126.400379
2016-07-05,41.6028,41.7316,41.1656,41.2524,29059165.116466
2016-07-06,40.5127,41.0348,40.1244,40.7772,34692771.974502
2016-07-07,40.6864,41.0348,40.5566,40.9489,20112457.526564
2016-07-08,40.3829,40.906,40.3829,40.8202,20009786.655948
2016-07-11,41.6028,41.6437,41.2973,41.473,22670284.796204
2016-07-12,41.9073,42.3435,41.8184,42.1688,41113745.894841
2016-07-13,42.4723,42.7368,42.3435,42.3844,30270791.179938
2016-07-14,42.3435,43.1272,42.1249,42.9545,33512431.110606
2016-07-15,43.0832,43.3907,42.8237,43.215,35118189.983576
2016-07-18,43.0373,43.4765,42.9545,43.3438,23866006.30607
2016-07-19,43.215,43.3907,42.9944,43.1272,18498643.698909
2016-07-20,43.1272,43.9547,43.0832,43.781,30968557.013932
2016-07-21,43.9976,44.2183,43.8679,43.9547,25356281.11039
2016-07-22,43.781,43.9098,43.5644,43.8679,15388518.609162
2016-07-25,43.8679,43.9098,43.6073,43.781,14502923.372926
2016-07-26,43.5644,44.2183,43.5195,43.781,26896904.139741
2016-07-27,44.0855,44.2183,43.8219,44.0855,29079749.778055
2016-07-28,44.1743,44.4349,44.0416,44.2582,24417105.048853
2016-07-29,43.8219,44.0855,43.7351,44.0416,26122204.022096
2016-08-01,44.2582,44.5207,44.2183,44.2582,22967135.070026
2016-08-03,43.5644,45.1287,43.3438,44.957,64653689.318141
2016-08-04,45.6088,46.3955,45.4801,46.1759,54890750.660922
2016-08-05,46.4374,46.9166,46.3955,46.6111,39341804.120788
2016-08-08,47.0474,47.6134,46.9166,47.4836,34755430.526374
2016-08-09,47.4836,47.5285,47.0474,47.3518,21185512.524664
2016-08-10,47.5285,47.9188,47.3518,47.7002,26877589.678691
2016-08-11,47.6353,48.429,47.5924,47.9887,25626395.065276
2016-08-12,48.2533,48.429,48.2533,48.2533,17817380.454579
2016-08-15,48.2982,48.4749,47.813,48.2113,20820045.376564
2016-08-16,48.0766,48.2533,47.5924,47.8999,22319934.837653
2016-08-17,48.2982,48.6066,48.2533,48.2533,31834150.598606
2016-08-18,48.429,49.0489,48.429,48.7853,26557015.304406
2016-08-19,49.0489,49.0489,48.387,48.5188,15814518.626528
2016-08-22,48.6066,48.7424,48.387,48.7424,12963954.208789
2016-08-23,48.6516,48.8283,48.4749,48.7853,13997036.957563
2016-08-24,48.7853,48.8712,48.5188,48.7853,14345072.907245
2016-08-25,49.004,49.3603,48.8712,49.004,22638602.909393
2016-08-26,49.004,49.4901,49.004,49.4013,17712599.929123
2016-08-29,49.3154,49.4472,49.0489,49.1816,14686079.679332
2016-08-30,49.4013,49.8884,49.3603,49.6678,28570966.343796
2016-08-31,49.8445,51.0823,49.7117,50.8168,54332510.546175
2016-09-01,50.7719,52.5837,50.6401,52.2324,75731596.072195
2016-09-02,52.1425,52.8493,52.1425,52.1425,65382205.424987
2016-09-05,53.1587,53.5551,52.8054,52.9791,46782304.30417
2016-09-06,52.9791,53.4263,52.4071,52.9371,38319620.253618
2016-09-07,52.5837,52.8922,52.1864,52.1864,48601313.619683
2016-09-08,51.9199,52.6726,51.879,52.4071,48261804.44208
2016-09-09,52.4949,53.4263,52.2733,52.8493,50240038.6043
2016-09-12,52.1864,52.4949,51.4797,51.4797,46744517.841577
2016-09-13,51.9658,52.2324,51.261,51.261,33474865.029811
2016-09-14,50.8168,51.1253,50.5972,50.727,43412422.202268
2016-09-15,50.8168,51.6983,50.8168,51.5705,25527300.390186
2016-09-19,51.1253,52.0097,51.1253,51.835,43946710.822606
2016-09-20,51.7442,52.3631,51.4797,52.0996,35336273.799625
2016-09-21,51.879,52.8922,51.7881,52.4949,38523409.304915
2016-09-22,52.8493,53.1587,51.5705,51.7442,49329597.323906
2016-09-23,51.9199,52.1425,50.9935,51.303,50698859.481675
2016-09-26,50.8168,51.5236,50.3736,50.686,37390950.393393
2016-09-27,50.8168,51.835,50.686,51.3469,35031395.617974
2016-09-28,51.5236,51.6124,50.727,51.3898,31819713.587422
2016-09-29,51.6124,51.6554,51.1253,51.3898,19333843.628549
2016-09-30,50.9057,51.1253,50.2877,50.5083,40376310.335624
2016-10-03,51.3898,51.5705,51.1253,51.303,21085720.641708
2016-10-04,51.5236,52.0557,51.3898,51.9199,24918183.134096
2016-10-05,51.9199,52.4949,51.7881,52.1425,18713864.555066
2016-10-06,52.3631,52.6307,52.0996,52.451,27935521.476829
2016-10-07,52.1425,52.1864,51.6554,52.0996,19888536.598097
2016-10-11,52.5408,52.8493,51.6983,52.0996,43207821.745263
2016-10-12,51.7442,52.0996,51.6554,51.879,17563964.427769
2016-10-13,51.7442,51.7442,50.686,51.0354,35477600.639197
2016-10-14,51.1702,51.7881,51.1702,51.6983,15774965.102616
2016-10-17,51.261,51.5705,51.0354,51.303,11188870.99239
2016-10-18,51.5236,52.1425,51.5236,52.1425,13122444.783417
2016-10-19,52.3631,52.4949,52.0557,52.1864,20065155.579012
2016-10-20,52.4779,52.6586,52.433,52.6586,16081070.410183
2016-10-24,52.9681,53.3294,52.7475,53.1957,31073388.627896
2016-10-25,52.9261,53.1508,52.6586,53.0589,10397891.672084
2016-10-26,52.9261,52.9681,52.5668,52.6586,12435517.726901
2016-10-27,52.7924,52.8373,52.1655,52.5668,21865280.17798
2016-10-28,52.7924,52.8373,52.2104,52.2533,30665533.044584
2016-10-31,52.1655,52.5238,52.1195,52.2533,37254845.600678
2016-11-01,52.2533,52.5238,52.0307,52.3442,35156007.499967
2016-11-02,51.9399,52.0756,51.4936,51.6693,20985888.689333
