Date,Open,High,Low,Close,Volume
2016-05-02,838.83,848.766,834.33,844.732,79084301
2016-05-06,853.11,857.924,841.004,850.318,57890443
2016-05-09,858.079,865.369,853.89,862.112,48196720
2016-05-10,869.254,883.687,856.219,881.204,63021735
2016-05-11,887.258,896.575,873.286,874.53,56937623
2016-05-12,835.103,868.168,835.103,861.963,119821486
2016-05-13,856.063,867.394,846.131,846.591,72506716
2016-05-16,843.021,854.665,838.206,848.608,57438202
2016-05-17,855.281,859.938,850.936,858.853,50793603
2016-05-18,860.565,872.053,854.352,859.479,73663750
2016-05-19,869.098,872.67,848.766,852.803,59696210
2016-05-20,847.989,865.369,847.832,863.355,51304481
2016-05-23,855.908,857.766,842.707,854.665,53159869
2016-05-24,849.85,850.007,840.542,842.707,46837395
2016-05-25,858.236,864.909,854.507,862.267,54068874
2016-05-26,876.544,881.367,867.551,868.63,46021170
2016-05-27,871.739,875.156,862.267,867.551,42868310
2016-05-30,873.286,882.298,868.951,881.829,56579439
2016-05-31,878.57,906.352,876.24,897.659,109425560
2016-06-01,884.934,907.131,883.998,893.32,90778349
2016-06-02,887.725,891.446,877.943,879.968,71880526
2016-06-03,879.968,887.884,875.772,880.899,64782409
2016-06-06,859.167,880.118,855.281,879.657,63731671
2016-06-07,881.829,888.502,870.966,877.64,67435989
2016-06-08,878.883,882.298,868.481,881.829,60665130
2016-06-09,872.514,878.726,866.77,869.724,51904911
2016-06-10,869.411,875.617,865.995,873.452,74820139
2016-06-13,857.924,863.355,842.247,842.559,67403130
2016-06-14,836.971,844.732,830.602,837.119,74807268
2016-06-16,838.206,839.917,816.94,819.74,80491290
2016-06-17,826.57,842.402,826.57,841.474,86133454
2016-06-20,847.989,869.871,847.989,864.292,76659416
2016-06-21,851.718,876.083,847.832,874.999,72249666
2016-06-22,869.411,876.708,860.251,870.341,65834430
2016-06-23,872.053,892.534,869.411,890.52,74483209
2016-06-24,886.171,891.446,793.193,813.378,190865166
2016-06-27,808.407,810.278,791.643,799.563,76913888
2016-06-28,783.886,790.716,763.237,772.238,137384477
2016-06-29,798.32,802.202,786.214,794.591,91223502
2016-06-30,810.58,810.736,784.198,784.198,91495374
2016-07-01,791.643,798.005,789.318,792.731,81639952
2016-07-04,789.628,799.563,786.515,795.833,63709121
2016-07-05,797.85,802.977,791.176,799.875,60321123
2016-07-06,784.04,786.214,770.694,786.057,116273083
2016-07-07,783.886,794.591,779.54,787.457,69455641
2016-07-08,790.863,800.491,784.657,784.657,67406346
2016-07-11,801.107,830.454,800.491,822.842,89852589
2016-07-12,840.385,857.611,839.762,844.888,92368297
2016-07-13,863.98,875.929,856.063,873.609,125363154
2016-07-14,865.838,878.57,864.753,876.708,74506397
2016-07-15,880.899,901.386,879.5,893.931,87839375
2016-07-19,902.785,904.335,883.227,897.82,64663225
2016-07-20,890.985,897.82,889.273,896.423,49020046
2016-07-21,908.063,913.335,903.86,911.942,68333401
2016-07-22,895.643,910.556,895.643,906.2,51581503
2016-07-25,906.2,915.667,903.564,907.445,50257615
2016-07-26,898.438,899.675,884.626,884.626,77173505
2016-07-27,891.916,918.928,890.06,910.556,78305423
2016-07-28,902.633,913.027,901.539,909.453,54613251
2016-07-29,893.931,917.379,886.022,914.893,104868289
2016-08-01,887.108,904.964,885.402,899.836,60636798
2016-08-02,890.985,896.26,883.998,884.157,59977748
2016-08-03,858.391,876.544,856.836,867.551,76823698
2016-08-04,867.856,887.108,865.838,883.384,69357724
2016-08-05,898.904,919.548,892.692,909.605,111235205
2016-08-08,925.136,942.064,921.258,939.872,86262943
2016-08-09,936.0,938.948,931.651,933.061,55421116
2016-08-10,928.555,930.407,919.692,922.657,54977241
