Date,Open,High,Low,Close,Volume
2016-05-02,84.5021,85.4432,84.4257,85.0667,4860733.0748083
2016-05-03,85.0482,85.4903,84.7138,85.1776,4796854.7384194
2016-05-04,85.1335,85.8961,84.8177,85.5706,4683980.535787
2016-05-05,85.4432,86.254,85.2109,85.7079,4131826.6127504
2016-05-06,85.2785,86.3235,85.2785,86.3235,4313223.4208994
2016-05-09,86.2892,86.9676,86.2794,86.6,5386312.7612288
2016-05-10,86.7294,87.7068,86.6431,87.6539,4723881.6725023
2016-05-11,87.3922,87.9706,86.8862,86.9579,4163934.5985466
2016-05-12,87.2765,87.503,86.8431,87.2628,3884846.9714606
2016-05-13,86.9833,87.2628,85.1599,85.6981,9493475.6833936
2016-05-16,85.5373,86.0647,85.2363,85.658,5158824.1576044
2016-05-17,85.6902,85.855,83.9011,84.205,6617986.6024878
2016-05-18,83.8502,83.8913,82.4688,82.9982,8473541.9566177
2016-05-19,82.8678,83.4354,82.4953,83.3433,5741387.6899605
2016-05-20,83.6501,83.7159,82.2492,82.3335,6935305.5510988
2016-05-23,82.3502,82.8845,82.2492,82.5934,5085130.9392594
2016-05-24,82.9982,83.3855,82.8179,83.1521,4186774.4470062
2016-05-25,83.2179,83.56,83.0453,83.1521,3919473.4506624
2016-05-26,83.2354,83.8599,83.0854,83.8099,5523424.2752474
2016-05-27,84.0011,84.2148,83.56,83.8599,3498273.024354
2016-05-31,84.01,84.205,82.9256,83.2179,7742825.9330768
2016-06-01,83.3266,84.1952,83.1168,84.1688,5717910.3127936
2016-06-02,83.9698,84.5275,83.8355,84.5188,4366757.4714935
2016-06-03,84.4618,85.2109,84.4618,84.9638,5444326.8535557
2016-06-06,84.9727,85.4078,84.7138,85.1011,3549159.0357092
2016-06-07,85.203,85.5099,84.7482,84.9295,4921912.3696616
2016-06-08,84.8177,85.648,84.6639,85.5099,3452256.7122773
2016-06-09,85.2697,86.0285,84.9727,85.8961,4286674.6854317
2016-06-10,85.5706,85.759,85.1697,85.6119,4178246.8630161
2016-06-13,85.5628,85.9216,85.3413,85.4078,5271492.3109585
2016-06-14,85.0158,85.6059,84.3177,85.5549,5260851.1917977
2016-06-15,85.5883,85.8285,85.1412,85.2363,4144408.8793195
2016-06-16,84.9462,86.1166,84.9462,86.0461,4226722.5058343
2016-06-17,85.8461,86.055,84.854,85.6981,6653628.0273919
2016-06-20,86.2363,86.7558,85.648,85.6657,4304562.2108922
2016-06-21,86.0226,86.5236,85.9745,86.2363,3873618.305843
2016-06-22,86.2363,86.5902,85.8726,85.9569,4096354.5154711
2016-06-23,86.5667,86.6,86.0991,86.548,3694979.7018938
2016-06-24,84.9295,85.7266,84.3678,84.5021,10430009.434738
2016-06-27,84.3432,84.8001,83.9452,84.6295,7707349.7556137
2016-06-28,84.6549,84.8001,84.1051,84.6374,6269160.4751345
2016-06-29,85.203,85.6305,84.9031,85.4609,5910948.9051624
2016-06-30,85.9658,87.8469,85.7941,87.7941,9620994.6854693
2016-07-01,88.0391,88.1754,87.3138,87.5215,4966430.2342644
2016-07-05,87.5578,88.6459,87.5215,88.1833,6175370.3118407
2016-07-06,88.3254,88.4333,87.5215,87.7764,7346100.4888567
2016-07-07,89.9431,90.3146,88.7136,89.0921,11683385.773242
2016-07-08,89.5293,89.9136,88.9392,89.7186,7302880.1226792
2016-07-11,89.6176,90.4146,89.2969,90.2695,7759767.8759585
2016-07-12,89.844,90.3979,89.798,90.1547,5044155.6941778
2016-07-13,90.3715,91.2018,90.2538,91.0743,6279177.3261851
2016-07-14,91.0097,91.9312,90.9646,91.1184,5832442.0900651
2016-07-15,90.9713,91.537,90.3047,90.8724,6297014.8693949
2016-07-18,90.8724,90.9106,90.2037,90.489,4435748.2780928
2016-07-19,90.2224,90.7891,90.0969,90.7606,4811956.5184402
2016-07-20,91.0381,91.0743,90.0685,90.2783,3646492.8385702
2016-07-21,90.0969,90.2322,89.5832,89.9792,3387286.9267414
2016-07-22,90.1469,90.6606,90.1469,90.4705,3250704.8165615
2016-07-25,90.5175,90.5499,89.8067,90.3341,3684337.562687
2016-07-26,90.3146,90.5077,89.5205,89.6528,4086167.3167499
2016-07-27,89.5293,89.5293,88.399,89.0822,5700832.7038029
2016-07-28,89.145,89.8067,88.8049,89.5929,4159003.6965121
2016-07-29,89.7097,90.3979,89.5832,90.2783,4821332.7806455
2016-08-01,90.1057,90.3901,89.7694,90.2783,4681962.8849339
2016-08-02,90.5253,90.5253,89.7263,90.1057,4139478.997331
2016-08-03,90.2783,90.3146,89.2333,89.5293,4455178.1130022
2016-08-04,89.6263,89.9615,89.4744,89.844,3894099.8081082
2016-08-05,90.1156,90.6244,89.798,90.0489,3844985.6165365
2016-08-08,89.844,90.0106,89.2333,89.5979,3987401.3694007
2016-08-09,89.6999,90.1234,89.5479,89.7263,2870016.5344815
2016-08-10,89.8685,90.296,89.8685,90.1841,2633358.7379758
2016-08-11,90.3244,90.4606,89.8685,89.894,3362906.8089248
2016-08-12,90.0293,90.2862,89.798,89.9892,3093417.8140572
2016-08-15,90.0969,90.3146,90.0293,90.1057,2845320.202426
2016-08-16,89.6999,90.0783,89.4137,89.4931,3230728.2370325
2016-08-17,89.4508,89.9431,89.1735,89.8862,3576642.1332504
2016-08-18,89.8351,90.1841,89.6528,89.7263,2863623.9066267
2016-08-19,89.5293,89.7097,89.1362,89.6263,3386548.4134867
2016-08-22,89.5665,89.6617,89.2969,89.4597,2781078.7296854
2016-08-23,89.6999,89.9615,89.242,89.396,2968996.6914766
2016-08-24,89.342,89.7333,89.145,89.5832,3465647.8752704
2016-08-25,89.5665,89.8067,89.3166,89.396,2569747.6536211
2016-08-26,89.4224,89.9136,88.948,89.0568,3462048.133177
2016-08-29,89.0999,89.5019,89.0117,89.4842,3109018.3965386
2016-08-30,89.4224,89.5479,88.6901,88.8401,4451221.3548327
2016-08-31,88.7323,89.2077,88.6735,89.0999,4785878.024147
2016-09-01,88.8401,89.5754,88.6989,89.5381,4552325.2474577
2016-09-02,89.7694,90.3341,89.7097,90.0205,4399010.3038121
2016-09-06,89.9615,90.2469,89.6176,90.0685,3490917.4731396
2016-09-07,89.9331,90.1057,89.1283,89.4655,3907050.3112587
2016-09-08,89.3764,89.5754,88.8676,89.2077,4157026.8474962
2016-09-09,88.4667,88.6088,86.8431,86.8431,7288648.4418383
2016-09-12,87.0431,88.6362,87.0431,88.4667,5431113.1785548
2016-09-13,88.399,88.4068,87.0333,87.2765,5488593.7868593
2016-09-14,87.4696,88.1754,87.2765,87.6618,4802529.2539382
2016-09-15,87.5755,88.2205,87.3666,88.0391,4670537.3504515
2016-09-16,87.6167,88.0558,87.2686,87.8636,5908505.8951558
2016-09-19,87.8029,88.5489,87.5481,88.1833,4113685.0958528
2016-09-20,88.5323,89.0636,88.4166,88.7068,4258831.5116765
2016-09-21,88.5813,89.5929,88.3607,89.4048,4689915.1630184
2016-09-22,89.6999,90.0881,89.5568,89.9792,4636582.0614727
2016-09-23,89.8617,90.1234,89.3254,89.5754,3857011.9580728
2016-09-26,89.4931,89.5979,89.1989,89.3166,5316191.7437372
2016-09-27,89.5929,90.0205,89.0822,89.6999,4511521.3700927
2016-09-28,90.0587,90.0587,89.1911,89.5979,6017750.7743627
2016-09-29,91.3841,91.537,89.8862,89.9331,8671410.4664737
2016-09-30,90.4224,91.1655,90.4224,90.7705,8564783.0251279
2016-10-03,90.7705,90.8145,89.6812,90.3341,5471415.1933212
2016-10-04,90.3812,90.4224,88.948,89.3764,6979041.0404719
2016-10-05,89.4931,89.6999,88.1931,88.4587,7511881.4138352
2016-10-06,88.2284,88.9068,88.0205,88.7892,5848228.3209061
2016-10-07,89.1088,89.2333,88.1754,88.4421,5257626.8266072
2016-10-10,88.8313,88.9842,88.3097,88.6362,3737804.2902497
2016-10-11,88.5489,88.6275,87.6167,88.1205,4559524.7316446
2016-10-12,88.3519,88.5813,88.048,88.5127,4093760.5386665
2016-10-13,88.3352,88.5911,87.8706,88.3891,4289175.8380566
2016-10-14,88.5127,89.342,88.2735,89.1636,5738107.2222437
2016-10-17,89.1636,89.8783,88.9313,89.1822,4914787.3488278
2016-10-18,89.6617,90.2862,89.242,89.2519,4608682.7851913
2016-10-19,89.145,89.2969,88.5127,88.6735,5180581.7373302
2016-10-20,88.5402,88.7136,88.1294,88.3519,4488762.1052618
2016-10-21,88.4587,88.4587,87.8559,88.1529,4321805.0673239
2016-10-24,88.5489,90.0489,88.5489,89.5568,6141656.7737478
2016-10-25,89.6076,89.8165,89.145,89.4842,4497537.5604133
2016-10-26,89.6999,90.0969,89.2519,89.35,4116397.3979856
2016-10-27,89.5293,89.743,88.7068,88.9931,5039095.24631
2016-10-28,89.2166,89.7333,88.897,89.35,4048921.3595952
2016-10-31,89.3166,89.645,89.2333,89.4597,3764653.9392673
2016-11-01,89.4048,89.5479,88.5489,89.0636,5140099.1744338
2016-11-02,89.0401,89.6528,88.9744,89.0636,4408669.1187405
2016-11-03,89.35,89.4048,88.897,88.9931,4128153.4273499
2016-11-04,88.9313,89.2617,88.3,88.3,3472061.9240897
2016-11-07,89.0205,89.4597,88.7705,89.2617,6542377.7378829
2016-11-08,89.2617,90.9106,89.2617,90.7311,5595849.5764991
2016-11-09,88.8313,89.5832,87.6167,89.5019,7802611.8451871
2016-11-10,89.2166,89.2166,85.4609,86.1589,10877244.493364
2016-11-11,85.9481,86.6,85.6059,86.1079,7055923.9424457
2016-11-14,85.8461,86.2363,83.8256,84.6118,8682222.9533511
2016-11-15,84.6198,85.1599,84.1364,84.9981,6796708.8502035
2016-11-16,85.4255,85.8726,84.6796,84.8795,4736496.5805413
2016-11-17,84.9638,85.0579,84.4354,84.8001,5010470.717371
2016-11-18,84.6198,84.955,84.4354,84.5452,5878581.8276996
2016-11-21,84.6893,85.3894,84.6893,85.3413,4638128.4511054
2016-11-22,85.5706,85.9481,85.4903,85.8628,5436261.3503727
2016-11-23,85.5628,85.8628,84.6736,84.7227,5603325.4931335
2016-11-25,85.1168,85.8804,84.9031,85.2609,4367676.5328781
2016-11-28,85.3472,86.1589,85.0315,85.7854,6640489.8357899
2016-11-29,85.7854,85.9912,85.3717,85.5795,4636144.461768
2016-11-30,85.3413,85.6902,84.1521,84.1521,9662413.6505312
2016-12-01,83.9776,84.1129,82.8081,83.2541,8467006.5223325
2016-12-02,83.5629,84.6051,83.5629,84.5707,5405782.3779297
2016-12-05,84.5884,84.8344,84.1688,84.6639,4702438.2669234
2016-12-06,84.9824,85.4255,84.7482,85.3717,5739199.6914367
2016-12-07,85.0392,86.5313,85.0392,86.4275,5833119.4005639
2016-12-08,85.8726,86.254,85.751,85.8804,4750724.1811984
2016-12-09,85.9402,87.4696,85.7941,87.0794,5955197.4776392
2016-12-12,87.2765,88.1754,87.1548,88.048,5765548.4979018
2016-12-13,88.1294,89.1362,88.0137,88.7979,5157427.7147237
2016-12-14,89.0205,89.5665,87.6,87.8294,5956148.1604477
2016-12-15,87.6167,88.742,87.6167,88.5127,4971320.3344616
2016-12-16,88.7225,89.0568,88.3793,89.0117,8892529.9032999
2016-12-19,88.6559,89.0117,88.3793,88.6088,4378070.8009235
2016-12-20,88.1833,88.3097,87.7392,88.1833,5832593.0568631
2016-12-21,88.1352,88.847,88.0205,88.0294,3857110.9025282
2016-12-22,87.899,88.6459,87.6343,88.5587,3098696.5517544
2016-12-23,88.2469,88.4754,87.9706,88.3519,2104562.8467322
2016-12-27,88.3519,88.5323,88.2666,88.3793,1762109.9663609
2016-12-28,88.1754,88.3607,87.8706,87.9617,2167535.3823337
2016-12-29,87.8559,88.3607,87.8392,88.2666,2900049.7468524
2016-12-30,88.0391,88.3891,87.7068,87.9706,4143969.2395229
2017-01-03,88.2205,88.3519,87.6,87.9882,4450122.7653642
2017-01-04,88.3706,88.7979,88.1108,88.1656,3575259.9710128
2017-01-05,87.8706,88.3706,87.5833,88.0391,5482256.2414848
2017-01-06,88.2569,88.399,87.5215,87.9087,4887185.9259584
2017-01-09,87.5578,87.6343,86.8079,86.9833,6660422.5533437
2017-01-10,86.8696,86.8696,85.5462,85.7266,6416701.9588061
2017-01-11,85.6206,86.0461,85.253,85.5972,5531410.2148477
2017-01-12,85.5099,86.1854,85.3971,85.6206,3713288.5063241
2017-01-13,85.658,85.8461,85.0913,85.3717,4117918.2864699
2017-01-17,84.9727,86.0226,84.9638,85.9148,4450701.1314075
2017-01-18,86.0814,86.5902,86.0226,86.3658,5162843.1385757
2017-01-19,85.9825,86.5902,85.8961,86.0461,4666467.3671834
2017-01-20,86.4099,86.8696,86.1166,86.8029,5634925.4960556
2017-01-23,86.5059,87.6068,86.4451,87.4333,5423835.1508311
2017-01-24,87.4265,88.2118,87.2461,88.0391,5937626.1664175
2017-01-25,88.0391,88.4234,87.8893,87.9519,4241749.8225021
2017-01-26,87.8636,88.0558,87.4774,87.5382,4323267.8131901
2017-01-27,87.7479,87.7764,86.9579,86.999,5053213.7020524
2017-01-30,86.6,87.202,86.5902,87.1735,4118663.9400461
2017-01-31,86.7745,87.5666,86.7745,87.2461,4572029.4747228
2017-02-01,87.1157,87.2461,86.5765,86.6,4181172.3547486
2017-02-02,87.2284,87.7579,86.8431,87.4519,3822702.7131558
2017-02-03,87.8029,88.9136,87.4774,88.3706,5099517.6670818
2017-02-06,88.3607,88.4667,87.8803,87.9167,5132895.6100632
2017-02-07,87.9706,89.0401,87.9706,88.7793,4734509.531066
2017-02-08,88.6901,89.3068,88.4754,88.847,4052606.7855468
2017-02-09,88.6175,89.5293,88.2902,89.0999,4772695.97057
2017-02-10,88.9744,89.4048,88.7617,89.2077,2944366.6624066
2017-02-13,89.5381,89.6911,89.0205,89.5568,4120337.8354202
2017-02-14,89.2519,89.9615,88.8313,89.8862,6732050.1786768
2017-02-15,88.5587,90.1646,88.0931,89.7263,9058262.8861197
2017-02-16,90.0881,90.9556,89.3861,90.9008,6612853.7313589
2017-02-17,90.2037,91.0469,90.1303,90.9272,6540325.405468
2017-02-21,90.8488,92.0507,90.7508,91.941,6388340.6017175
2017-02-22,91.9507,92.3027,91.7763,91.9871,4538218.0122205
2017-02-23,91.739,92.4801,91.739,92.0891,4023540.5767194
2017-02-24,92.0507,92.4223,91.9145,92.34,4744774.253278
2017-02-27,92.2302,92.3861,91.8409,91.8773,4125444.185355
2017-02-28,91.6753,92.9821,91.6753,92.7841,5572336.4977245
2017-03-01,92.7575,93.3919,92.4223,92.8801,5612424.3028453
2017-03-02,92.9428,93.3919,92.6095,93.2056,4584629.0820728
2017-03-03,93.1959,93.6791,92.8006,93.5939,4873452.0275322
2017-03-06,92.9428,93.2713,92.6095,92.7841,5305477.1812692
2017-03-07,92.4125,92.9164,92.2752,92.5321,5146191.9087845
2017-03-08,92.4223,92.5419,91.8213,92.5164,6189473.4668941
2017-03-09,92.7301,92.7664,92.2008,92.2929,4804612.1877309
2017-03-10,92.7488,92.8614,92.5076,92.7575,4121475.1866343
2017-03-13,92.5321,92.9428,92.3027,92.5909,3614600.0824656
2017-03-14,92.5076,92.8801,92.3772,92.5419,4288457.7257205
2017-03-15,92.7301,94.1477,92.6713,94.0359,5875469.6675616
2017-03-16,94.0163,94.1193,93.5665,94.0643,5411521.1563422
2017-03-17,94.3732,94.4026,93.8948,94.2889,7613271.939367
2017-03-20,94.0723,94.336,93.791,94.0723,3995533.1755691
2017-03-21,94.4222,95.0516,94.3634,94.6212,6601233.3681034
2017-03-22,95.0516,95.1183,94.4496,94.8281,4586398.8617646
2017-03-23,94.7712,95.0693,94.5349,94.6291,3790119.3859553
2017-03-24,94.7888,94.9947,94.6379,94.9045,4623005.2501201
